ontology_id,ontology_title,pid,predicate_ja,predicate_en,domain_qid,domain_concept_ja,range_qid,range_concept_ja,relation_type,strategy_no,strategy_name,verifier,selection_rationale,why_not_others
ont_4_book,Book Ontology,P407,仕事または名前の言語,language of work or name,Q7725634,文学作品,Q34770,言語,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_4_book,Book Ontology,P180,描写します,depicts,Q47461344,Q47461344,,,値/時刻/文字列,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_6_computer,Computer Ontology,P178,開発元,developer,Q7397,ソフトウェア,Q4830453,Q4830453,ロール/参加者/所属,15,フレーム役割チェック,No.21（最終判定：BERTで代替）,役割関係（誰が何をする/所属する）で、引数の役割充足をフレームとして検証するのが適切なため。,階層分類(タクソノミー) / 同義語生成
ont_6_computer,Computer Ontology,P170,作者,creator,Q166142,アプリケーションソフトウェア,Q5,ヒト,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_6_computer,Computer Ontology,P400,プラットフォーム,platform,Q7397,ソフトウェア,Q68,コンピュータ,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_6_computer,Computer Ontology,P306,オペレーティングシステム,operating system,Q55990535,コンピュータ・モデル,Q9135,オペレーティング・システム,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_10_culture,Culture Ontology,P172,民族グループ,ethnic group,Q5,ヒト,Q41710,民族,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_10_culture,Culture Ontology,P611,修道会（宗教団体）,religious order,Q9174,宗教,Q9174,宗教,ロール/参加者/所属,15,フレーム役割チェック,No.21（最終判定：BERTで代替）,役割関係（誰が何をする/所属する）で、引数の役割充足をフレームとして検証するのが適切なため。,階層分類(タクソノミー) / 同義語生成
ont_10_culture,Culture Ontology,P1412,使用言語（話し言葉・書き言葉・手話）,"languages spoken, written or signed",Q5,ヒト,Q34770,言語,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_10_culture,Culture Ontology,P571,インセプション,inception,Q8242,文学,,,値/時刻/文字列,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_10_culture,Culture Ontology,P580,開始時刻,start time,Q132241,祭,,,値/時刻/文字列,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_10_culture,Culture Ontology,P825,〜に捧げる（献呈先）,dedicated to,Q735,芸術,Q5,ヒト,ロール/参加者/所属,15,フレーム役割チェック,No.21（最終判定：BERTで代替）,役割関係（誰が何をする/所属する）で、引数の役割充足をフレームとして検証するのが適切なため。,階層分類(タクソノミー) / 同義語生成
ont_10_culture,Culture Ontology,P4185,図像記号,iconographic symbol,Q5,ヒト,,,値/時刻/文字列,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_10_culture,Culture Ontology,P2341,固有の（原産地／自生地）,indigenous to,Q11639,舞踊,,,値/時刻/文字列,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_5_military,Military Ontology,P410,軍隊の階級,military rank,Q5,ヒト,Q56019,軍隊の階級,抽象属性（定義で判定）,1,定義ベース判定,No.21（最終判定：BERTで代替）,rangeが抽象属性値で、階層写像より『定義の一致/含意』の方が安定して二値化しやすいため。,アナロジー推論 / フレーム役割 / 同義語生成
ont_5_military,Military Ontology,P241,軍種,military branch,Q5,ヒト,Q176799,軍隊の構成単位,タクソノミー/型制約,17,階層分類チェック（タクソノミー整合）,No.21（最終判定：BERTで代替）,predicateが要求する引数型（domain/range概念）を上位概念写像で検証するのが中心のため。,同義語生成 / アナロジー推論
ont_5_military,Military Ontology,P1347,軍死傷者分類,military casualty classification,Q5,ヒト,Q16861376,軍事死傷者分類,抽象属性（定義で判定）,1,定義ベース判定,No.21（最終判定：BERTで代替）,rangeが抽象属性値で、階層写像より『定義の一致/含意』の方が安定して二値化しやすいため。,アナロジー推論 / フレーム役割 / 同義語生成
ont_5_military,Military Ontology,P287,デザイン,designed by,Q18643213,軍装備品,Q43229,組織,ロール/参加者/所属,15,フレーム役割チェック,No.21（最終判定：BERTで代替）,役割関係（誰が何をする/所属する）で、引数の役割充足をフレームとして検証するのが適切なため。,階層分類(タクソノミー) / 同義語生成
ont_5_military,Military Ontology,P287,デザイン,designed by,Q1184840,軍用車両,Q43229,組織,ロール/参加者/所属,15,フレーム役割チェック,No.21（最終判定：BERTで代替）,役割関係（誰が何をする/所属する）で、引数の役割充足をフレームとして検証するのが適切なため。,階層分類(タクソノミー) / 同義語生成
ont_5_military,Military Ontology,P4791,指揮官,commanded by,Q2008856,コマンド,Q5,ヒト,ロール/過程（類推補助）,4,アナロジー推論,No.21（最終判定：BERTで代替）,役割関係だがドメイン横断で代表例への写像（類推）が効き、テンプレ同値判定に落とし込みやすいため。,階層分類(タクソノミー) / 同義語生成
ont_5_military,Military Ontology,P3730,直上の階級,next higher rank,Q56019,軍隊の階級,Q4189293,組織内の階級,タクソノミー/型制約,17,階層分類チェック（タクソノミー整合）,No.21（最終判定：BERTで代替）,predicateが要求する引数型（domain/range概念）を上位概念写像で検証するのが中心のため。,同義語生成 / アナロジー推論
ont_5_military,Military Ontology,P3461,テロ組織と認定した国,designated as terrorist by,Q17149090,武装組織,Q6256,国,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_5_military,Military Ontology,P1654,翼構成,wing configuration,Q11436,Q11436,,,抽象属性（定義で判定）,1,定義ベース判定,No.21（最終判定：BERTで代替）,rangeが抽象属性値で、階層写像より『定義の一致/含意』の方が安定して二値化しやすいため。,アナロジー推論 / フレーム役割 / 同義語生成
ont_1_movie,Movie Ontology,P57,監督,director,Q11424,映画,Q5,ヒト,ロール/参加者/所属,22,QA型（通常文↔疑問文）型整合チェック,No.22（通常文↔疑問文）,役割語/断片（例:「監督」「〜で」）の誤通過を避けるため、通常文→疑問文のYES/NOで個体適格性を厳密に二値化する。,階層分類(タクソノミー) / 同義語生成
ont_1_movie,Movie Ontology,P58,脚本家,screenwriter,Q11424,映画,Q5,ヒト,ロール/参加者/所属,22,QA型（通常文↔疑問文）型整合チェック,No.22（通常文↔疑問文）,役割語/断片（例:「監督」「〜で」）の誤通過を避けるため、通常文→疑問文のYES/NOで個体適格性を厳密に二値化する。,階層分類(タクソノミー) / 同義語生成
ont_1_movie,Movie Ontology,P136,ジャンル,genre,Q11424,映画,Q483394,ジャンル,タクソノミー/型制約,17,階層分類チェック（タクソノミー整合）,No.21（最終判定：BERTで代替）,predicateが要求する引数型（domain/range概念）を上位概念写像で検証するのが中心のため。,同義語生成 / アナロジー推論
ont_1_movie,Movie Ontology,P144,基づく,based on,Q11424,映画,Q47461344,著作物,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_1_movie,Movie Ontology,P161,キャストメンバー,cast member,Q11424,映画,Q5,ヒト,ロール/参加者/所属,22,QA型（通常文↔疑問文）型整合チェック,No.22（通常文↔疑問文）,役割語/断片（例:「監督」「〜で」）の誤通過を避けるため、通常文→疑問文のYES/NOで個体適格性を厳密に二値化する。,階層分類(タクソノミー) / 同義語生成
ont_1_movie,Movie Ontology,P166,受賞,award received,Q11424,映画,Q618779,賞,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_1_movie,Movie Ontology,P272,制作会社,production company,Q11424,映画,Q1762059,映画制作会社,ロール/参加者/所属,22,QA型（通常文↔疑問文）型整合チェック,No.22（通常文↔疑問文）,役割語/断片（例:「監督」「〜で」）の誤通過を避けるため、通常文→疑問文のYES/NOで個体適格性を厳密に二値化する。,階層分類(タクソノミー) / 同義語生成
ont_1_movie,Movie Ontology,P495,原産国,country of origin,Q11424,映画,Q6256,国,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_1_movie,Movie Ontology,P577,公開日,publication date,Q11424,映画,,,値/時刻/文字列,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_1_movie,Movie Ontology,P674,文字,characters,Q11424,映画,Q15773347,映画の登場人物,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_1_movie,Movie Ontology,P840,物語の場所,narrative location,Q11424,映画,Q515,都市,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_1_movie,Movie Ontology,P915,撮影場所,filming location,Q11424,映画,Q515,都市,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_1_movie,Movie Ontology,P921,主な主題,main subject,Q11424,映画,,,値/時刻/文字列,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_1_movie,Movie Ontology,P1411,ノミネートされました,nominated for,Q11424,映画,Q618779,賞,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_1_movie,Movie Ontology,P2130,料金,cost,Q11424,映画,,,値/時刻/文字列,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_2_music,Music Ontology,P86,作曲家,composer,Q2188189,音楽作品,Q5,ヒト,ロール/参加者/所属,22,QA型（通常文↔疑問文）型整合チェック,No.22（通常文↔疑問文）,役割語/断片（例:「監督」「〜で」）の誤通過を避けるため、通常文→疑問文のYES/NOで個体適格性を厳密に二値化する。,階層分類(タクソノミー) / 同義語生成
ont_2_music,Music Ontology,P361,一部,part of,Q2188189,音楽作品,Q482994,アルバム,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_2_music,Music Ontology,P676,歌詞,lyrics by,Q2188189,音楽作品,Q5,ヒト,ロール/参加者/所属,22,QA型（通常文↔疑問文）型整合チェック,No.22（通常文↔疑問文）,役割語/断片（例:「監督」「〜で」）の誤通過を避けるため、通常文→疑問文のYES/NOで個体適格性を厳密に二値化する。,階層分類(タクソノミー) / 同義語生成
ont_2_music,Music Ontology,P577,公開日,publication date,Q2188189,音楽作品,,,値/時刻/文字列,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_2_music,Music Ontology,P407,仕事または名前の言語,language of work or name,Q2188189,音楽作品,Q34770,言語,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_2_music,Music Ontology,P412,音声タイプ,voice type,Q5,ヒト,Q7390,声,抽象属性（定義で判定）,1,定義ベース判定,No.21（最終判定：BERTで代替）,rangeが抽象属性値で、階層写像より『定義の一致/含意』の方が安定して二値化しやすいため。,アナロジー推論 / フレーム役割 / 同義語生成
ont_2_music,Music Ontology,P870,計装,instrumentation,Q2188189,音楽作品,,,抽象属性（定義で判定）,1,定義ベース判定,No.21（最終判定：BERTで代替）,rangeが抽象属性値で、階層写像より『定義の一致/含意』の方が安定して二値化しやすいため。,アナロジー推論 / フレーム役割 / 同義語生成
ont_2_music,Music Ontology,P658,トラックリスト,tracklist,Q482994,アルバム,Q2188189,音楽作品,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_2_music,Music Ontology,P136,ジャンル,genre,Q2188189,音楽作品,Q188451,音楽のジャンル,タクソノミー/型制約,17,階層分類チェック（タクソノミー整合）,No.21（最終判定：BERTで代替）,predicateが要求する引数型（domain/range概念）を上位概念写像で検証するのが中心のため。,同義語生成 / アナロジー推論
ont_2_music,Music Ontology,P175,パフォーマー,performer,Q2188189,音楽作品,,,ロール/参加者/所属,15,フレーム役割チェック,No.21（最終判定：BERTで代替）,役割関係（誰が何をする/所属する）で、引数の役割充足をフレームとして検証するのが適切なため。,階層分類(タクソノミー) / 同義語生成
ont_2_music,Music Ontology,P162,プロデューサー,producer,Q482994,アルバム,,,ロール/参加者/所属,15,フレーム役割チェック,No.21（最終判定：BERTで代替）,役割関係（誰が何をする/所属する）で、引数の役割充足をフレームとして検証するのが適切なため。,階層分類(タクソノミー) / 同義語生成
ont_2_music,Music Ontology,P1411,ノミネートされました,nominated for,Q482994,アルバム,Q618779,賞,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_2_music,Music Ontology,P264,レコードレーベル,record label,Q482994,アルバム,,,ロール/参加者/所属,15,フレーム役割チェック,No.21（最終判定：BERTで代替）,役割関係（誰が何をする/所属する）で、引数の役割充足をフレームとして検証するのが適切なため。,階層分類(タクソノミー) / 同義語生成
ont_9_nature,Nature Ontology,P171,親分類群,parent taxon,Q16521,タクソン,Q16521,タクソン,タクソノミー/型制約,17,階層分類チェック（タクソノミー整合）,No.21（最終判定：BERTで代替）,predicateが要求する引数型（domain/range概念）を上位概念写像で検証するのが中心のため。,同義語生成 / アナロジー推論
ont_9_nature,Nature Ontology,P4552,山脈,mountain range,Q8502,山,Q46831,山脈,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_9_nature,Nature Ontology,P3137,親峰,parent peak,Q8502,山,Q8502,山,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_9_nature,Nature Ontology,P1843,分類群の一般名,taxon common name,Q7432,Q7432,,,同義語/別名,10,同義語生成による整合チェック,No.21（最終判定：BERTで代替）,訳語ゆらぎ/別名を吸収する必要があるため。A→A'を同義語置換で生成し、同値性を21で検証。,定義ベース判定 / 階層分類(タクソノミー) / フレーム役割 / アナロジー推論
ont_9_nature,Nature Ontology,P974,支流,tributary,Q355304,流路,Q355304,流路,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_9_nature,Nature Ontology,P885,水源,origin of the watercourse,Q355304,流路,Q15324,水域,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_9_nature,Nature Ontology,P403,河口,mouth of the watercourse,Q355304,流路,Q355304,流路,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_9_nature,Nature Ontology,P141,IUCN保全状況,IUCN conservation status,Q16521,タクソン,Q82673,保全状況,抽象属性（定義で判定）,1,定義ベース判定,No.21（最終判定：BERTで代替）,rangeが抽象属性値で、階層写像より『定義の一致/含意』の方が安定して二値化しやすいため。,アナロジー推論 / フレーム役割 / 同義語生成
ont_9_nature,Nature Ontology,P1420,分類群の同義語,taxon synonym,Q16521,タクソン,Q1040689,同義語,同義語/別名,10,同義語生成による整合チェック,No.21（最終判定：BERTで代替）,訳語ゆらぎ/別名を吸収する必要があるため。A→A'を同義語置換で生成し、同値性を21で検証。,定義ベース判定 / 階層分類(タクソノミー) / フレーム役割 / アナロジー推論
ont_9_nature,Nature Ontology,P4661,作成された貯水池,reservoir created,Q12323,ダム,Q131681,貯水池,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_9_nature,Nature Ontology,P4614,排水盆地,drainage basin,Q355304,流路,Q166620,流域,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_9_nature,Nature Ontology,P4320,山岳賞（山岳ポイント分類）,mountains classification,Q15091377,自転車レース,Q5,ヒト,抽象属性（定義で判定）,1,定義ベース判定,No.21（最終判定：BERTで代替）,rangeが抽象属性値で、階層写像より『定義の一致/含意』の方が安定して二値化しやすいため。,アナロジー推論 / フレーム役割 / 同義語生成
ont_9_nature,Nature Ontology,P2974,生息地,Habitat,Q16521,タクソン,Q15324,水域,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
ont_8_politics,Politics Ontology,P35,元首,head of state,Q6256,国,Q5,ヒト,ロール/参加者/所属,15,フレーム役割チェック,No.21（最終判定：BERTで代替）,役割関係（誰が何をする/所属する）で、引数の役割充足をフレームとして検証するのが適切なため。,階層分類(タクソノミー) / 同義語生成
ont_8_politics,Politics Ontology,P6,行政府の長,head of government,Q6256,国,Q5,ヒト,ロール/参加者/所属,15,フレーム役割チェック,No.21（最終判定：BERTで代替）,役割関係（誰が何をする/所属する）で、引数の役割充足をフレームとして検証するのが適切なため。,階層分類(タクソノミー) / 同義語生成
ont_8_politics,Politics Ontology,P39,公職,position held,Q5,ヒト,Q30461,大統領,ロール/参加者/所属,15,フレーム役割チェック,No.21（最終判定：BERTで代替）,役割関係（誰が何をする/所属する）で、引数の役割充足をフレームとして検証するのが適切なため。,階層分類(タクソノミー) / 同義語生成
ont_8_politics,Politics Ontology,P463,所属グループ,Member of,Q5,ヒト,Q43229,組織,ロール/参加者/所属,15,フレーム役割チェック,No.21（最終判定：BERTで代替）,役割関係（誰が何をする/所属する）で、引数の役割充足をフレームとして検証するのが適切なため。,階層分類(タクソノミー) / 同義語生成
ont_8_politics,Politics Ontology,P1387,政治的立場,political alignment,Q7278,政党,Q28819924,政治的立場,タクソノミー/型制約,17,階層分類チェック（タクソノミー整合）,No.21（最終判定：BERTで代替）,predicateが要求する引数型（domain/range概念）を上位概念写像で検証するのが中心のため。,同義語生成 / アナロジー推論
ont_8_politics,Politics Ontology,P102,所属政党,member of political party,Q5,ヒト,Q7278,政党,ロール/参加者/所属,15,フレーム役割チェック,No.21（最終判定：BERTで代替）,役割関係（誰が何をする/所属する）で、引数の役割充足をフレームとして検証するのが適切なため。,階層分類(タクソノミー) / 同義語生成
ont_8_politics,Politics Ontology,P2715,選出選挙,elected in,Q5,ヒト,Q40231,選挙,ロール/過程（類推補助）,4,アナロジー推論,No.21（最終判定：BERTで代替）,役割関係だがドメイン横断で代表例への写像（類推）が効き、テンプレ同値判定に落とし込みやすいため。,階層分類(タクソノミー) / 同義語生成
ont_8_politics,Politics Ontology,P3602,立候補選挙,candidacy in election,Q5,ヒト,Q40231,選挙,ロール/過程（類推補助）,4,アナロジー推論,No.21（最終判定：BERTで代替）,役割関係だがドメイン横断で代表例への写像（類推）が効き、テンプレ同値判定に落とし込みやすいため。,階層分類(タクソノミー) / 同義語生成
ont_8_politics,Politics Ontology,P1142,政治イデオロギー,political ideology,Q7278,政党,Q12909644,政治イデオロギー,タクソノミー/型制約,17,階層分類チェック（タクソノミー整合）,No.21（最終判定：BERTで代替）,predicateが要求する引数型（domain/range概念）を上位概念写像で検証するのが中心のため。,同義語生成 / アナロジー推論
ont_7_space,Space Ontology,P65,天文学的な発見の場所,site of astronomical discovery,Q3863,小惑星,Q62832,天文台,一般関係（内容/場所/部分など）,21,同義語・言い換えベース判定（統合ゲート）,No.21（同一：言い換え同値/含意判定）,場所・部分・内容・時刻など、タクソノミー/ロール/同義語だけでは扱いにくく、関係文の言い換え同値判定が最も直接的なため。,-
